symbol: SNX-USD | length: 1897 | accuracy: 0.4833948339483395 | cross_val_scores: [0.50493827 0.52606635 0.5202381  0.527339   0.50177096] | cross_val_scores_avg: 0.5160705355031091 | precision: 0.49412915851272016 | tn: 412, fp: 517, fn: 463, tp: 505 | 
symbol: NEO-USD | length: 1897 | accuracy: 0.5086979441222984 | cross_val_scores: [0.47850208 0.50680787 0.51626016 0.50148368 0.49047619] | cross_val_scores_avg: 0.49870599598304965 | precision: 0.4795673076923077 | tn: 566, fp: 433, fn: 499, tp: 399 | 
symbol: IMX10603-USD | length: 541 | accuracy: 0.5157116451016636 | cross_val_scores: [0.49159664 0.48319328 0.49339207 0.48275862 0.47761194] | cross_val_scores_avg: 0.4857105094878261 | precision: 0.4963235294117647 | tn: 144, fp: 137, fn: 125, tp: 135 | 
symbol: XRD-USD | length: 1717 | accuracy: 0.5154338963308096 | cross_val_scores: [0.54143646 0.51742627 0.52588556 0.51008304 0.52054795] | cross_val_scores_avg: 0.5230758556217713 | precision: 0.4937439846005775 | tn: 372, fp: 526, fn: 306, tp: 513 | 
symbol: OP-USD | length: 1523 | accuracy: 0.5042678923177938 | cross_val_scores: [0.42759796 0.48148148 0.57738095 0.55428571 0.4300885 ] | cross_val_scores_avg: 0.49416691988607087 | precision: 0.5067204301075269 | tn: 391, fp: 367, fn: 388, tp: 377 | 
symbol: PAXG-USD | length: 1725 | accuracy: 0.5055072463768115 | cross_val_scores: [0.52573018 0.53910615 0.52411168 0.51376147 0.53814147] | cross_val_scores_avg: 0.5281701878510379 | precision: 0.49128205128205127 | tn: 393, fp: 496, fn: 357, tp: 479 | 
symbol: GMX11857-USD | length: 541 | accuracy: 0.5415896487985212 | cross_val_scores: [0.4954955  0.48401826 0.47222222 0.49065421 0.40186916] | cross_val_scores_avg: 0.46885186940877627 | precision: 0.5033112582781457 | tn: 141, fp: 150, fn: 98, tp: 152 | 
symbol: OSMO-USD | length: 1717 | accuracy: 0.5218404193360513 | cross_val_scores: [0.50585176 0.52223634 0.52142857 0.52248677 0.55464481] | cross_val_scores_avg: 0.5253296497437687 | precision: 0.5399014778325123 | tn: 348, fp: 467, fn: 354, tp: 548 | 
symbol: GT-USD | length: 1725 | accuracy: 0.5026086956521739 | cross_val_scores: [0.50165017 0.51838879 0.50323625 0.4874552  0.46755408] | cross_val_scores_avg: 0.4956568952473215 | precision: 0.47723935389133626 | tn: 542, fp: 356, fn: 502, tp: 325 | 
symbol: XAUT-USD | length: 1725 | accuracy: 0.5547826086956522 | cross_val_scores: [0.53897849 0.5501355  0.55620438 0.56942496 0.5247093 ] | cross_val_scores_avg: 0.5478905285606362 | precision: 0.5388951521984217 | tn: 479, fp: 409, fn: 359, tp: 478 | 
